"Experiment-Name","Throughput(events/ms)","InputSize","MillisecondsPassed","ParsingTime(ms)"
"query-1","236.63014671083766","999999","4226.0","3397.0"
"query-1","302.388569700635","999999","3307.0","2797.0"
"query-1","308.07116451016634","999999","3246.0","2720.0"
"query-1","299.4008982035928","999999","3340.0","2790.0"
"query-1","294.3770974389167","999999","3397.0","2830.0"
"query-1","297.17652303120354","999999","3365.0","2851.0"
"query-1","290.1912362159025","999999","3446.0","2898.0"
"query-1","302.388569700635","999999","3307.0","2802.0"
"query-1","306.37224264705884","999999","3264.0","2730.0"
"query-1","304.59914712153517","999999","3283.0","2745.0"
"query-2","296.7356083086053","999999","3370.0","2809.0"
"query-2","302.388569700635","999999","3307.0","2804.0"
"query-2","304.59914712153517","999999","3283.0","2784.0"
"query-2","293.7717391304348","999999","3404.0","2875.0"
"query-2","280.8197135636057","999999","3561.0","3022.0"
"query-2","300.9325910321998","999999","3323.0","2859.0"
"query-2","303.4898330804249","999999","3295.0","2781.0"
"query-2","299.13221657194134","999999","3343.0","2851.0"
"query-2","298.86401673640165","999999","3346.0","2837.0"
"query-2","301.74984912492454","999999","3314.0","2822.0"
"query-3","266.09872272485364","999999","3758.0","3094.0"
"query-3","278.24123539232056","999999","3594.0","2944.0"
"query-3","268.8892175315945","999999","3719.0","3076.0"
"query-3","283.44642857142856","999999","3528.0","2924.0"
"query-3","283.92930153321976","999999","3522.0","2907.0"
"query-3","287.52127659574467","999999","3478.0","2902.0"
"query-3","292.3118971061093","999999","3421.0","2846.0"
"query-3","284.4947368421053","999999","3515.0","2904.0"
"query-3","290.1912362159025","999999","3446.0","2898.0"
"query-3","286.94375896700143","999999","3485.0","2910.0"
"query-4","190.6212352268395","999999","5246.0","3021.0"
"query-4","201.45024174053182","999999","4964.0","2979.0"
"query-4","202.10165723524656","999999","4948.0","3009.0"
"query-4","208.07303370786516","999999","4806.0","2854.0"
"query-4","198.05882352941177","999999","5049.0","3091.0"
"query-4","206.35555096987207","999999","4846.0","2998.0"
"query-4","203.7072723568955","999999","4909.0","2973.0"
"query-4","205.04387943407832","999999","4877.0","2968.0"
"query-4","207.08200455580865","999999","4829.0","2943.0"
"query-4","207.9","999999","4810.0","2988.0"
"query-5","231.5884668828161","999999","4318.0","3208.0"
"query-5","225.27573777877902","999999","4439.0","3219.0"
"query-5","220.70161112337232","999999","4531.0","3180.0"
"query-5","234.24666198172875","999999","4269.0","3090.0"
"query-5","236.63014671083766","999999","4226.0","3089.0"
"query-5","236.18304204062352","999999","4234.0","3093.0"
"query-5","236.5182119205298","999999","4228.0","3063.0"
"query-5","234.9621710526316","999999","4256.0","3086.0"
"query-5","238.60629921259843","999999","4191.0","3125.0"
"query-5","234.08216292134833","999999","4272.0","3101.0"
"query-6","205.42296631059983","999999","4868.0","3080.0"
"query-6","213.2648752399232","999999","4689.0","2960.0"
"query-6","199.2426778242678","999999","5019.0","3067.0"
"query-6","192.90104166666666","999999","5184.0","3177.0"
"query-6","204.49877300613497","999999","4890.0","3030.0"
"query-6","206.91061452513966","999999","4833.0","2996.0"
"query-6","208.55036496350365","999999","4795.0","2967.0"
"query-6","208.55036496350365","999999","4795.0","2963.0"
"query-6","210.03969754253308","999999","4761.0","2919.0"
"query-6","210.88127372416702","999999","4742.0","2895.0"
"query-7","211.46098540917743","999999","4729.0","3319.0"
"query-7","206.31297709923663","999999","4847.0","3269.0"
"query-7","211.9540059347181","999999","4718.0","3214.0"
"query-7","211.1484375","999999","4736.0","3200.0"
"query-7","210.26051303616484","999999","4756.0","3143.0"
"query-7","212.63002338932597","999999","4703.0","3122.0"
"query-7","211.28227339953517","999999","4733.0","3172.0"
"query-7","198.57009531374106","999999","5036.0","3379.0"
"query-7","207.2536787564767","999999","4825.0","3279.0"
"query-7","211.32692307692307","999999","4732.0","3145.0"
"query-8","291.375","999999","3432.0","2878.0"
"query-8","291.88528896672506","999999","3426.0","2843.0"
"query-8","291.9705109489051","999999","3425.0","2844.0"
"query-8","292.3118971061093","999999","3421.0","2821.0"
"query-8","282.48559322033896","999999","3540.0","2945.0"
"query-8","285.714","999999","3500.0","2903.0"
"query-8","288.1011235955056","999999","3471.0","2863.0"
"query-8","291.9705109489051","999999","3425.0","2881.0"
"query-8","290.2754716981132","999999","3445.0","2844.0"
"query-8","277.00803324099724","999999","3610.0","3038.0"
